Algorithm,Best Cost,Execution Time,Final Solution
SA,43095.10198165648,17042.470145702362,"[[5, 3, 4, 2, 5], [5, 3, 4, 5], [5, 2, 1, 5], [5, 3, 4, 5], [5, 2, 1, 5], [5, 3, 4, 5], [5, 2, 1, 5], [5, 3, 4, 5], [5, 2, 1, 5]]"
SALS,43084.447944340434,25223.40372133255,"[[5, 3, 4, 1, 5], [5, 3, 4, 5], [5, 2, 1, 5], [5, 3, 4, 5], [5, 2, 1, 5], [5, 3, 4, 5], [5, 2, 1, 5], [5, 3, 4, 5], [5, 2, 1, 5]]"
PSO(Random Keys)+SA,43088.86563988982,16822.660553216934,"[[5, 1, 3, 4, 5], [5, 3, 4, 5], [5, 2, 1, 5], [5, 3, 4, 5], [5, 2, 1, 5], [5, 3, 4, 5], [5, 2, 1, 5], [5, 3, 4, 5], [5, 2, 1, 5]]"
